Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S0	0	0	e	2021-12-23 21:15:35	2021-12-23 21:15:35	2021-12-23 21:39:49	
S0	0	1	e	2021-12-23 21:24:35	2021-12-23 21:24:35	2021-12-23 21:47:52	
S0	0	0	a	2021-12-23 21:15:35	2021-12-23 21:15:35	2021-12-23 21:59:40	
S0	0	2	e	2021-12-23 21:38:00	2021-12-23 21:38:00	2021-12-23 22:00:49	
S0	0	1	a	2021-12-23 21:24:35	2021-12-23 21:24:35	2021-12-23 22:07:58	
S0	0	3	e	2021-12-23 21:51:51	2021-12-23 21:51:51	2021-12-23 22:15:32	
S0	0	1	dc	2021-12-23 21:47:52	2021-12-23 21:47:52	2021-12-23 22:15:54	
S0	0	2	a	2021-12-23 21:38:00	2021-12-23 21:38:00	2021-12-23 22:19:27	
S0	0	1	bo	2021-12-23 21:47:52	2021-12-23 21:47:52	2021-12-23 22:28:12	
S0	0	5	e	2021-12-23 22:12:52	2021-12-23 22:12:52	2021-12-23 22:31:24	
S0	0	4	e	2021-12-23 22:04:20	2021-12-23 22:04:20	2021-12-23 22:32:26	
S0	0	3	bt	2021-12-23 21:51:51	2021-12-23 21:51:51	2021-12-23 22:32:37	
S0	0	0	j	2021-12-23 21:39:49	2021-12-23 21:39:49	2021-12-23 22:33:14	
S0	0	2	j	2021-12-23 22:00:49	2021-12-23 22:00:49	2021-12-23 22:39:38	
S0	0	6	e	2021-12-23 22:23:41	2021-12-23 22:23:41	2021-12-23 22:43:35	
S0	0	1	bj	2021-12-23 22:15:54	2021-12-23 22:15:54	2021-12-23 22:45:23	
S0	0	3	di	2021-12-23 22:15:32	2021-12-23 22:15:32	2021-12-23 22:46:49	
S0	0	4	a	2021-12-23 22:04:20	2021-12-23 22:04:20	2021-12-23 22:50:35	
S0	0	5	bt	2021-12-23 22:12:52	2021-12-23 22:12:52	2021-12-23 22:51:19	
S0	0	7	ba	2021-12-23 22:35:49	2021-12-23 22:35:49	2021-12-23 22:56:10	
S0	0	5	dc	2021-12-23 22:31:24	2021-12-23 22:31:24	2021-12-23 22:58:47	
S0	0	3	aq	2021-12-23 22:32:37	2021-12-23 22:32:37	2021-12-23 23:01:08	
S0	0	0	u	2021-12-23 22:33:14	2021-12-23 22:33:14	2021-12-23 23:01:32	
S0	0	0	d	2021-12-23 22:33:14	2021-12-23 22:33:14	2021-12-23 23:02:10	
S0	0	0	w	2021-12-23 22:33:14	2021-12-23 22:33:14	2021-12-23 23:02:45	
S0	0	0	bl	2021-12-23 22:33:14	2021-12-23 22:33:14	2021-12-23 23:03:01	
S0	0	6	a	2021-12-23 22:23:41	2021-12-23 22:23:41	2021-12-23 23:04:21	
S0	0	4	j	2021-12-23 22:32:26	2021-12-23 22:32:26	2021-12-23 23:06:09	
S0	0	5	bo	2021-12-23 22:31:24	2021-12-23 22:31:24	2021-12-23 23:07:36	
S0	0	2	d	2021-12-23 22:39:38	2021-12-23 22:39:38	2021-12-23 23:08:03	
S0	0	1	x	2021-12-23 22:45:23	2021-12-23 22:45:23	2021-12-23 23:08:08	
S0	0	7	cj	2021-12-23 22:35:49	2021-12-23 22:35:49	2021-12-23 23:08:14	
S0	0	0	ap	2021-12-23 22:33:14	2021-12-23 22:33:14	2021-12-23 23:09:08	
