Scenario	Replication	TokenId	Element	Arrived	Started	Completed	Resources
S0	0	0	b	2021-12-23 18:22:03	2021-12-23 18:22:03	2021-12-23 18:51:53	
S0	0	1	b	2021-12-23 18:34:57	2021-12-23 18:34:57	2021-12-23 19:08:45	
S0	0	2	b	2021-12-23 18:53:15	2021-12-23 18:53:15	2021-12-23 19:21:31	
S0	0	0	h	2021-12-23 18:51:53	2021-12-23 18:51:53	2021-12-23 19:25:33	
S0	0	1	h	2021-12-23 19:08:45	2021-12-23 19:08:45	2021-12-23 19:39:40	
S0	0	3	b	2021-12-23 19:11:32	2021-12-23 19:11:32	2021-12-23 19:43:18	
S0	0	2	h	2021-12-23 19:21:31	2021-12-23 19:21:31	2021-12-23 19:46:45	
S0	0	4	b	2021-12-23 19:27:14	2021-12-23 19:27:14	2021-12-23 19:54:33	
S0	0	0	e	2021-12-23 19:25:33	2021-12-23 19:25:33	2021-12-23 19:54:47	
S0	0	5	b	2021-12-23 19:46:09	2021-12-23 19:46:09	2021-12-23 20:09:54	
S0	0	1	e	2021-12-23 19:39:40	2021-12-23 19:39:40	2021-12-23 20:13:25	
S0	0	3	h	2021-12-23 19:43:18	2021-12-23 19:43:18	2021-12-23 20:13:53	
S0	0	0	k	2021-12-23 19:54:47	2021-12-23 19:54:47	2021-12-23 20:22:16	
S0	0	4	h	2021-12-23 19:54:33	2021-12-23 19:54:33	2021-12-23 20:22:19	
S0	0	2	e	2021-12-23 19:46:45	2021-12-23 19:46:45	2021-12-23 20:24:32	
S0	0	6	b	2021-12-23 20:01:39	2021-12-23 20:01:39	2021-12-23 20:37:24	
S0	0	5	h	2021-12-23 20:09:54	2021-12-23 20:09:54	2021-12-23 20:41:57	
S0	0	7	b	2021-12-23 20:22:22	2021-12-23 20:22:22	2021-12-23 20:44:54	
S0	0	1	k	2021-12-23 20:13:25	2021-12-23 20:13:25	2021-12-23 20:46:16	
S0	0	0	j	2021-12-23 20:22:16	2021-12-23 20:22:16	2021-12-23 20:58:13	
S0	0	3	e	2021-12-23 20:13:53	2021-12-23 20:13:53	2021-12-23 20:58:32	
S0	0	2	k	2021-12-23 20:24:32	2021-12-23 20:24:32	2021-12-23 20:58:40	
S0	0	6	h	2021-12-23 20:37:24	2021-12-23 20:37:24	2021-12-23 21:06:41	
S0	0	4	e	2021-12-23 20:22:19	2021-12-23 20:22:19	2021-12-23 21:08:49	
S0	0	8	b	2021-12-23 20:39:02	2021-12-23 20:39:02	2021-12-23 21:10:23	
S0	0	7	h	2021-12-23 20:44:54	2021-12-23 20:44:54	2021-12-23 21:15:48	
S0	0	1	j	2021-12-23 20:46:16	2021-12-23 20:46:16	2021-12-23 21:16:14	
S0	0	5	e	2021-12-23 20:41:57	2021-12-23 20:41:57	2021-12-23 21:16:38	
S0	0	0	t	2021-12-23 20:58:13	2021-12-23 20:58:13	2021-12-23 21:27:33	
S0	0	6	e	2021-12-23 21:06:41	2021-12-23 21:06:41	2021-12-23 21:28:24	
S0	0	9	b	2021-12-23 21:02:09	2021-12-23 21:02:09	2021-12-23 21:32:42	
S0	0	3	k	2021-12-23 20:58:32	2021-12-23 20:58:32	2021-12-23 21:33:18	
S0	0	2	j	2021-12-23 20:58:40	2021-12-23 20:58:40	2021-12-23 21:35:07	
S0	0	8	h	2021-12-23 21:10:23	2021-12-23 21:10:23	2021-12-23 21:35:49	
S0	0	10	b	2021-12-23 21:15:52	2021-12-23 21:15:52	2021-12-23 21:38:07	
S0	0	4	k	2021-12-23 21:08:49	2021-12-23 21:08:49	2021-12-23 21:43:33	
S0	0	0	m	2021-12-23 20:58:13	2021-12-23 20:58:13	2021-12-23 21:45:56	
S0	0	7	e	2021-12-23 21:15:48	2021-12-23 21:15:48	2021-12-23 21:50:28	
S0	0	1	u	2021-12-23 21:16:14	2021-12-23 21:16:14	2021-12-23 21:52:26	
S0	0	5	k	2021-12-23 21:16:38	2021-12-23 21:16:38	2021-12-23 21:53:59	
S0	0	10	h	2021-12-23 21:38:07	2021-12-23 21:38:07	2021-12-23 21:56:45	
S0	0	3	j	2021-12-23 21:33:18	2021-12-23 21:33:18	2021-12-23 22:00:00	
S0	0	1	m	2021-12-23 21:16:14	2021-12-23 21:16:14	2021-12-23 22:03:17	
S0	0	2	t	2021-12-23 21:35:07	2021-12-23 21:35:07	2021-12-23 22:04:44	
S0	0	9	h	2021-12-23 21:32:42	2021-12-23 21:32:42	2021-12-23 22:04:56	
S0	0	0	r	2021-12-23 21:27:33	2021-12-23 21:27:33	2021-12-23 22:08:37	
S0	0	11	b	2021-12-23 21:31:33	2021-12-23 21:31:33	2021-12-23 22:09:34	
S0	0	6	k	2021-12-23 21:28:24	2021-12-23 21:28:24	2021-12-23 22:09:57	
S0	0	4	j	2021-12-23 21:43:33	2021-12-23 21:43:33	2021-12-23 22:13:44	
S0	0	8	e	2021-12-23 21:35:49	2021-12-23 21:35:49	2021-12-23 22:16:08	
S0	0	2	m	2021-12-23 21:35:07	2021-12-23 21:35:07	2021-12-23 22:16:57	
S0	0	12	b	2021-12-23 21:52:25	2021-12-23 21:52:25	2021-12-23 22:18:37	
S0	0	7	k	2021-12-23 21:50:28	2021-12-23 21:50:28	2021-12-23 22:24:16	
S0	0	10	e	2021-12-23 21:56:45	2021-12-23 21:56:45	2021-12-23 22:31:42	
